,c_albicans_single_growth,c_albicans_paired_growth,bacteria_single_growth,bacteria_paired_growth,solution_status,c_albicans_coefficient,bacteria_coefficient,interaction_type,bacteria_interaction_role
M_Lactobacillus_crispatus_CTV_05,2.319699588,1.326694447,1.06294198,2.6369384,1,-0.806101842,1.310801019,Parasitism [-/+],inhibitor
M_Lactobacillus_crispatus_FB049_03,2.319699588,1.371096385,1.0753189,2.759945806,1,-0.758607988,1.359875365,Parasitism [-/+],inhibitor
M_Lactobacillus_crispatus_FB077_07,2.319699588,1.308299432,0.841924334,2.455450777,1,-0.826245211,1.544225416,Parasitism [-/+],inhibitor
M_Lactobacillus_crispatus_JV_V01,2.319699588,2.665695354,1.240148653,0.592517648,1,0.200573932,-1.065583032,Parasitism [+/-],promoter
M_Lactobacillus_crispatus_MV_1A_US,2.319699588,2.563224714,1.106660733,0.479677785,1,0.144021982,-1.206075473,Parasitism [+/-],promoter
M_Lactobacillus_crispatus_MV_3A_US,2.319699588,2.600598031,1.041291398,0.482199603,1,0.164905441,-1.110671486,Parasitism [+/-],promoter
M_Lactobacillus_crispatus_ST1,2.319699588,1.415942341,1.212592631,2.871976271,1,-0.712175463,1.243948869,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_subsp_bulgaricus_2038,2.319699588,1.216492518,0.629788818,2.829436057,1,-0.931210535,2.167574486,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842,2.319699588,1.254940876,0.610595599,2.734635761,1,-0.886318586,2.16305959,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365,2.319699588,1.180422597,0.382630464,2.603339554,1,-0.974634537,2.766339847,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_subsp_bulgaricus_CNCM_I_1519,2.319699588,1.202345515,0.654431898,3.004135832,1,-0.948086442,2.198635071,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_subsp_bulgaricus_CNCM_I_1632,2.319699588,1.29795925,0.625124349,2.497554104,1,-0.837692892,1.998300829,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_subsp_bulgaricus_ND02,2.319699588,2.477001326,1.406634453,4.112504345,1,0.094656659,1.547769744,Commensalism [o/+],neutral
M_Lactobacillus_delbrueckii_subsp_delbrueckii_DSM_20074,2.319699588,1.060365055,0.633600035,2.627976724,1,-1.129376951,2.052308178,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_subsp_lactis_DSM_20072,2.319699588,1.190736989,0.597595185,3.151559139,1,-0.962083196,2.398825305,Parasitism [-/+],inhibitor
M_Lactobacillus_delbrueckii_ZN7a_9,2.319699588,2.482475,0.778382392,2.835686581,1,0.097841208,1.865147105,Commensalism [o/+],neutral
M_Lactobacillus_fermentum_28_3_CHN,2.319699588,1.435259446,0.66531423,2.524888618,1,-0.692626431,1.924111951,Parasitism [-/+],inhibitor
M_Lactobacillus_fermentum_ATCC_14931,2.319699588,1.149864655,0.334576894,2.128493997,1,-1.012473923,2.669423298,Parasitism [-/+],inhibitor
M_Lactobacillus_fermentum_CECT_5716,2.319699588,1.093116411,0.286248516,2.903630289,1,-1.085490933,3.342517653,Parasitism [-/+],inhibitor
M_Lactobacillus_fermentum_F_6,2.319699588,2.499975,0.898149555,5.612602206,1,0.107975686,2.643642212,Commensalism [o/+],neutral
M_Lactobacillus_fermentum_IFO_3956,2.319699588,1.142489406,0.066497201,2.086538814,1,-1.021757194,4.971674322,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_202_4,2.319699588,1.724669439,1.526868618,4.180067492,1,-0.427618109,1.452950309,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_224_1,2.319699588,3.404965668,1.039559208,0.752568607,1,0.553702271,-0.466076914,Parasitism [+/-],promoter
M_Lactobacillus_gasseri_ATCC_33323,2.319699588,1.809632193,1.149711088,3.514783529,1,-0.358241482,1.612164468,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_CECT_5714,2.319699588,1.725786235,1.385050612,4.182683452,1,-0.426684206,1.594490123,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_ERR1203930,2.319699588,1.783429444,1.360619718,4.045681163,1,-0.37928384,1.572118725,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_ERR1204024,2.319699588,1.783429444,1.360619718,4.045681163,1,-0.37928384,1.572118725,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_ERR2221164,2.319699588,1.72644096,1.318545506,3.828674989,1,-0.426136983,1.537897835,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_ERR2221406,2.319699588,1.726441203,1.318545156,3.828672803,1,-0.42613678,1.537897393,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_MV_22,2.319699588,1.748591441,1.362216551,3.895409433,1,-0.407744739,1.515818906,Parasitism [-/+],inhibitor
M_Lactobacillus_gasseri_SJ_9E_US,2.319699588,1.7248205,1.525197903,4.178382685,1,-0.427491751,1.453948178,Parasitism [-/+],inhibitor
